Ref,Val,Package,PosX,PosY,Rot,Side
"C_3V3_BULK1","10uF","C_0603_1608Metric",136.750000,-96.000000,90.000000,bottom
"C_BARO1","100nF","C_0402_1005Metric",153.500000,-105.750000,90.000000,bottom
"C_BARO2","100nF","C_0402_1005Metric",154.500000,-105.750000,90.000000,bottom
"C_BUCK_SS1","22nF","C_0402_1005Metric",138.650000,-99.900000,90.000000,bottom
"C_CURR_F1","1uF","C_0402_1005Metric",142.850000,-98.800000,0.000000,bottom
"C_FLASH1","100nF","C_0402_1005Metric",154.000000,-102.000000,180.000000,bottom
"C_HSE1","12pF","C_0402_1005Metric",138.750000,-96.270000,90.000000,bottom
"C_HSE2","12pF","C_0402_1005Metric",138.750000,-93.500000,90.000000,bottom
"C_IMU_VDD1","2.2uF","C_0402_1005Metric",152.980000,-99.750000,0.000000,bottom
"C_IMU_VDD2","100nF","C_0402_1005Metric",152.980000,-98.750000,0.000000,bottom
"C_IMU_VIO1","100nF","C_0402_1005Metric",148.750000,-97.520000,90.000000,bottom
"C_IMU_VIO2","10nF","C_0402_1005Metric",147.500000,-97.520000,90.000000,bottom
"C_LDO_IN1","1uF","C_0402_1005Metric",133.000000,-93.750000,0.000000,bottom
"C_LDO_OUT1","1uF","C_0402_1005Metric",132.980000,-98.250000,180.000000,bottom
"C_OSD_AVDD1","100nF","C_0402_1005Metric",157.000000,-89.500000,90.000000,bottom
"C_OSD_DVDD1","100nF","C_0402_1005Metric",145.250000,-94.500000,90.000000,bottom
"C_OSD_PVDD1","4.7uF","C_0603_1608Metric",157.500000,-84.000000,0.000000,bottom
"C_OSD_PVDD2","100nF","C_0402_1005Metric",154.500000,-92.480000,-90.000000,bottom
"C_OSD_SAG1","22uF","C_0805_2012Metric",149.250000,-83.000000,-90.000000,bottom
"C_OSD_XTAL1","27pF","C_0402_1005Metric",143.600000,-89.600000,90.000000,bottom
"C_OSD_XTAL2","27pF","C_0402_1005Metric",140.500000,-87.000000,0.000000,bottom
"C_VDDA1","1uF","C_0402_1005Metric",146.100000,-97.250000,90.000000,bottom
"C_VDDA_HF1","100nF","C_0402_1005Metric",144.900000,-97.250000,90.000000,bottom
"C_VID1","22uF","C_0805_2012Metric",135.500000,-89.250000,180.000000,bottom
"C_VID3","100nF","C_0402_1005Metric",138.000000,-89.270000,90.000000,bottom
"C_VID_IN_AC1","100nF","C_0402_1005Metric",157.000000,-86.250000,-90.000000,bottom
"C_VID_OUT_AC1","22uF","C_0805_2012Metric",147.000000,-83.000000,90.000000,bottom
"D_VID_CLAMP1","BAV99","SOT-23",161.000000,-85.250000,90.000000,bottom
"FB_IMU1","600R @ 100MHz","L_0402_1005Metric",153.000000,-97.750000,0.000000,bottom
"FB_VDDA1","100R @ 100MHz","L_0402_1005Metric",145.000000,-98.900000,0.000000,bottom
"JP_BOOT0","Jumper2","SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",143.750000,-85.500000,90.000000,bottom
"J_ESC1","BM08B-SRSS-TB_LF__SN_","JST_BM08B-SRSS-TB_LF__SN_",167.300000,-105.200000,90.000000,bottom
"J_GPS1","BM06B-SRSS-TB_LF__SN_","JST_BM06B-SRSS-TB_LF__SN_",157.000000,-118.000000,0.000000,bottom
"L_VID1","4.7uH","L_Sunlord_SWPA3015S",136.000000,-92.250000,90.000000,bottom
"R_BOOT0","10k","R_0402_1005Metric",145.500000,-84.500000,-90.000000,bottom
"R_BUCK_FB1","100k","R_0402_1005Metric",139.750000,-102.000000,-90.000000,bottom
"R_BUCK_FB2","17.8k","R_0402_1005Metric",138.750000,-103.000000,-90.000000,bottom
"R_BUCK_RT1","49.9k","R_0402_1005Metric",137.050000,-106.850000,0.000000,bottom
"R_CC1","5.1k","R_0402_1005Metric",158.870000,-96.250000,180.000000,bottom
"R_CC2","5.1k","R_0402_1005Metric",158.870000,-91.000000,180.000000,bottom
"R_CURR_F1","1k","R_0402_1005Metric",141.000000,-98.000000,90.000000,bottom
"R_FLASH_HD1","10k","R_0402_1005Metric",157.850000,-107.150000,0.000000,bottom
"R_FLASH_WP1","10k","R_0402_1005Metric",164.000000,-107.500000,90.000000,bottom
"R_HSE2","0R","R_0402_1005Metric",142.750000,-97.500000,0.000000,bottom
"R_I2C_SCL1","4.7k","R_0402_1005Metric",150.500000,-97.000000,0.000000,bottom
"R_I2C_SDA1","4.7k","R_0402_1005Metric",149.250000,-96.000000,0.000000,bottom
"R_OSD_RST1","10k","R_0402_1005Metric",154.500000,-86.750000,-90.000000,bottom
"R_USB_SH1","0R","R_0402_1005Metric",166.000000,-97.000000,180.000000,bottom
"R_VID_BYPASS1","0R","R_0402_1005Metric",156.500000,-82.240000,90.000000,bottom
"R_VID_IN_T1","75R","R_0402_1005Metric",158.000000,-86.250000,-90.000000,bottom
"R_VID_OUT_T1","75R","R_0402_1005Metric",151.000000,-82.230000,-90.000000,bottom
"TP_IMU_INT_0","Test Point","TestPoint_Pad_D1.0mm",151.750000,-103.000000,0.000000,bottom
"U_BARO1","DPS310","XDCR_DPS310",151.300000,-105.400000,180.000000,bottom
"U_ESD1","USBLC6-2SC6","SOT-23-6",159.000000,-93.550000,180.000000,bottom
"U_FLASH1","W25Q128JVE","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",159.600000,-103.100000,180.000000,bottom
"U_IMU1","ICM-42688-P","PQFN50P300X250X97-14N",150.000000,-100.000000,0.000000,bottom
"U_LDO1","AP2112K-3.3TRG1","SOT-23-5",133.250000,-96.000000,0.000000,bottom
"U_OSD1","AT7456E","SOP65P640X120-29N",149.938000,-90.325000,0.000000,bottom
"Y_HSE1","8MHz CL=10pF ESR<150R","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.150000,-94.700000,90.000000,bottom
"Y_OSD1","27MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",141.000000,-89.250000,0.000000,bottom
"C_5V_BULK1","10uF","C_0603_1608Metric",137.000000,-90.750000,180.000000,top
"C_B1","100uF","CP_Elec_6.3x7.7",152.750000,-110.500000,0.000000,top
"C_BUCK_BOOT1","100nF","C_0402_1005Metric",131.750000,-102.000000,90.000000,top
"C_BUCK_IN1","4.7uF","C_1210_3225Metric",134.750000,-108.900000,-90.000000,top
"C_BUCK_IN2","4.7uF","C_1210_3225Metric",138.000000,-108.900000,-90.000000,top
"C_BUCK_IN3","100nF","C_0603_1608Metric",132.250000,-108.080000,-90.000000,top
"C_BUCK_OUT1","47uF","C_1210_3225Metric",140.550000,-100.750000,0.000000,top
"C_NRST1","100nF","C_0402_1005Metric",142.750000,-89.520000,90.000000,top
"C_VBAT_ADC1","100nF","C_0402_1005Metric",145.250000,-107.510000,-90.000000,top
"C_VCAP1","4.7uF","C_0805_2012Metric",154.500000,-105.500000,180.000000,top
"C_VDD1","100nF","C_0402_1005Metric",144.250000,-89.090000,180.000000,top
"C_VDD2","100nF","C_0402_1005Metric",147.250000,-103.250000,-90.000000,top
"C_VDD3","100nF","C_0402_1005Metric",155.500000,-101.250000,0.000000,top
"C_VDD4","100nF","C_0402_1005Metric",156.250000,-89.500000,90.000000,top
"C_VDD_BULK1","4.7uF","C_0603_1608Metric",149.750000,-104.500000,0.000000,top
"D_BUCK1","B260A-13-F","D_SMA",131.750000,-94.700000,90.000000,top
"D_TVS1","SMAJ28A","D_SMA",143.250000,-112.000000,180.000000,top
"D_USB_VBUS1","PMEG2010AEH","D_SOD-123F",158.750000,-96.750000,90.000000,top
"H_MNT1","MountingHole 3.2mm_M3","MountingHole_3.2mm_M3",134.750000,-84.750000,0.000000,top
"H_MNT2","MountingHole 3.2mm_M3","MountingHole_3.2mm_M3",165.250000,-84.750000,0.000000,top
"H_MNT3","MountingHole 3.2mm_M3","MountingHole_3.2mm_M3",134.750000,-115.250000,0.000000,top
"H_MNT4","MountingHole 3.2mm_M3","MountingHole_3.2mm_M3",165.250000,-115.250000,0.000000,top
